cidade,uf,lat,lon,hsp,concessionaria,fio_b
Erechim,RS,-27.634,-52.273,4.25,RGE Sul,0.32
Gravataí,RS,-29.9422,-51.0111,4.38,RGE Sul,0.32
Sapiranga,RS,-29.63833333,-51.0075,4.24,RGE Sul,0.32
São Leopoldo,RS,-29.762,-51.1425,4.38,RGE Sul,0.32
Sapucaia do Sul,RS,-29.836,-51.146,4.39,RGE Sul,0.32
Cachoeirinha,RS,-29.91527778,-51.08888889,4.38,RGE Sul,0.32
Campo Bom,RS,-29.67694444,-51.02916667,4.25,RGE Sul,0.32
Estância Velha,RS,-29.6475,-51.17472222,4.25,RGE Sul,0.32
Esteio,RS,-29.85083333,-51.1825,4.39,RGE Sul,0.32
Lajeado,RS,-29.46694444,-51.96111111,4.22,RGE Sul,0.32
Tramandaí,RS,-29.98472222,-50.13361111,4.15,CEEE Equatorial,0.28
Imbé,RS,-29.9775,-50.13,4.15,CEEE Equatorial,0.28
Farroupilha,RS,-29.22861111,-51.34611111,4.18,RGE Sul,0.32
